Aggregate_Date,Platform,Country_ID,Download_MBPS,Upload_MBPS,Latency_MS,Jitter,Rank,Month,PrevMonth,Country_Name
2024-04-01,Fixed Broadband,93,48.66,42.09,34,24,126,2024-04,2024-03,Iraq
2024-04-01,Fixed Broadband,198,46.93,45.98,71,70,127,2024-04,2024-03,Zimbabwe
2024-04-01,Fixed Broadband,127,46.47,24.28,27,26,128,2024-04,2024-03,Antigua and Barbuda
2024-04-01,Fixed Broadband,156,46.46,13.93,22,35,129,2024-04,2024-03,Senegal
2024-04-01,Fixed Broadband,31,46.04,36.08,15,30,130,2024-04,2024-03,Indonesia
2024-04-01,Fixed Broadband,174,45.70,18.76,95,48,131,2024-04,2024-03,Rwanda
2024-04-01,Fixed Broadband,101,44.15,40.19,29,38,132,2024-04,2024-03,Morocco
2024-04-01,Fixed Broadband,62,43.75,23.72,17,25,133,2024-04,2024-03,Bolivia
2024-04-01,Fixed Broadband,59,42.94,28.37,37,56,134,2024-04,2024-03,Nigeria
2024-04-01,Fixed Broadband,182,42.23,10.96,24,48,135,2024-04,2024-03,Togo
2024-04-01,Fixed Broadband,210,42.16,35.89,48,32,136,2024-04,2024-03,Western Sahara
2024-04-01,Fixed Broadband,148,41.96,43.33,51,49,137,2024-04,2024-03,Madagascar
2024-04-01,Fixed Broadband,200,39.82,29.99,22,45,138,2024-04,2024-03,Lesotho
2024-04-01,Fixed Broadband,222,38.02,25.75,74,79,139,2024-04,2024-03,Niger
2024-04-01,Fixed Broadband,204,37.66,42.84,24,52,140,2024-04,2024-03,Ethiopia
2024-04-01,Fixed Broadband,213,37.41,17.48,27,30,141,2024-04,2024-03,Djibouti
2024-04-01,Fixed Broadband,130,37.02,16.07,28,49,142,2024-04,2024-03,Angola
2024-04-01,Fixed Broadband,179,36.70,38.43,50,47,143,2024-04,2024-03,Somalia
2024-04-01,Fixed Broadband,211,36.21,20.53,90,78,144,2024-04,2024-03,Swaziland
2024-04-01,Fixed Broadband,199,35.97,9.57,254,69,145,2024-04,2024-03,Zambia
2024-04-01,Fixed Broadband,168,34.98,21.83,19,29,146,2024-04,2024-03,Maldives
2024-04-01,Fixed Broadband,201,34.92,12.48,207,78,147,2024-04,2024-03,Malawi
2024-04-01,Fixed Broadband,64,34.62,22.74,42,46,148,2024-04,2024-03,Fiji
2024-04-01,Fixed Broadband,215,34.58,23.05,31,36,149,2024-04,2024-03,Mauritania
2024-04-01,Fixed Broadband,85,34.53,36.10,19,25,150,2024-04,2024-03,Georgia
2024-04-01,Fixed Broadband,37,34.29,21.74,39,37,151,2024-04,2024-03,Iran
2024-04-01,Fixed Broadband,137,34.19,17.59,19,41,152,2024-04,2024-03,Benin
2024-04-01,Fixed Broadband,206,34.17,46.65,12,22,153,2024-04,2024-03,Bhutan
2024-04-01,Fixed Broadband,58,33.67,28.60,27,49,154,2024-04,2024-03,Tanzania
2024-04-01,Fixed Broadband,139,32.16,26.39,18,37,155,2024-04,2024-03,Sierra Leone
2024-04-01,Fixed Broadband,163,30.97,12.03,124,62,156,2024-04,2024-03,Mozambique
2024-04-01,Fixed Broadband,97,30.70,20.48,109,75,157,2024-04,2024-03,Sudan
2024-04-01,Fixed Broadband,170,30.69,29.09,16,32,158,2024-04,2024-03,Myanmar (Burma)
2024-04-01,Fixed Broadband,109,30.56,11.53,33,41,159,2024-04,2024-03,Mali
2024-04-01,Fixed Broadband,205,30.32,16.59,57,57,160,2024-04,2024-03,Guinea
